prices,address,beds,zipcode,lat,long,url,baths,sq_feet
949999.0, 3302 E Flower St Phoenix AZ 85018 ,4,85018,33.486506,-112.010569,https://www.zillow.com/homedetails/3302-E-Flower-St-Phoenix-AZ-85018/7565488_zpid/,5,2968
399000.0, 2 W Michelle Dr Phoenix AZ 85023 ,3,85023,33.649646,-112.074389,https://www.zillow.com/homedetails/2-W-Michelle-Dr-Phoenix-AZ-85023/7956290_zpid/,2,1526
380000.0, 8317 W Gross Ave Tolleson AZ 85353 ,3,85353,33.429293,-112.239637,https://www.zillow.com/homedetails/8317-W-Gross-Ave-Tolleson-AZ-85353/59271313_zpid/,2,1377
1395000.0, 5601 E Sylvia St Scottsdale AZ 85254 ,4,85254,33.598553,-111.960241,https://www.zillow.com/homedetails/5601-E-Sylvia-St-Scottsdale-AZ-85254/7822429_zpid/,3,2916
484999.0, 9311 S 36th Dr Laveen AZ 85339 ,4,85339,33.361603,-112.137678,https://www.zillow.com/homedetails/9311-S-36th-Dr-Laveen-AZ-85339/2075684308_zpid/,2,1800
789000.0, 1801 E Bethany Home Rd Phoenix AZ 85016 ,5,85016,33.523485,-112.042965,https://www.zillow.com/homedetails/1801-E-Bethany-Home-Rd-Phoenix-AZ-85016/7808709_zpid/,3,1948
179900.0, 4554 Paradise Village Pkwy N UNIT 229 Phoenix AZ 85032 ,1,85032,33.605065,-111.982737,https://www.zillow.com/homedetails/4554-Paradise-Village-Pkwy-N-UNIT-229-Phoenix-AZ-85032/67084243_zpid/,1,685
525000.0, 1500 E Wahalla Ln #E12 Phoenix AZ 85024 ,3,85024,33.668185,-112.049152,https://www.zillow.com/homedetails/1500-E-Wahalla-Ln-E12-Phoenix-AZ-85024/2067622346_zpid/,3,1679
355000.0, 7845 W Pipestone Pl Phoenix AZ 85035 ,4,85035,33.472279,-112.22855,https://www.zillow.com/homedetails/7845-W-Pipestone-Pl-Phoenix-AZ-85035/95165362_zpid/,3,1598
449990.0, Grand Plan Sunset Farms ,4,85353,33.423788,-112.289361,https://www.zillow.com/community/sunset-farms/2067491116_zpid/,3,3018
385000.0, 2329 W Keim Dr Phoenix AZ 85015 ,3,85015,33.526716,-112.109593,https://www.zillow.com/homedetails/2329-W-Keim-Dr-Phoenix-AZ-85015/7772672_zpid/,2,1502
209900.0, 17017 N 12th St UNIT 1099 Phoenix AZ 85022 ,2,85022,33.640875,-112.057799,https://www.zillow.com/homedetails/17017-N-12th-St-UNIT-1099-Phoenix-AZ-85022/71630659_zpid/,2,1167
387500.0, 513 E Milada Dr Phoenix AZ 85042 ,3,85042,33.389601,-111.984347,https://www.zillow.com/homedetails/4508-E-Alta-Vista-Rd-Phoenix-AZ-85042/7551090_zpid/,2,2165
376000.0, 4508 E Alta Vista Rd Phoenix AZ 85042 ,4,85008,33.455157,-111.978746,https://www.zillow.com/homedetails/612-N-48th-St-Phoenix-AZ-85008/7560109_zpid/,2,1772
399000.0, 612 N 48th St Phoenix AZ 85008 ,3,85008,33.471389,-112.002288,https://www.zillow.com/homedetails/2202-N-37th-St-Phoenix-AZ-85008/7541872_zpid/,2,1338
360000.0, 2202 N 37th St Phoenix AZ 85008 ,3,85029,33.608306,-112.106107,https://www.zillow.com/homedetails/2150-W-Eugie-Ave-Phoenix-AZ-85029/7749985_zpid/,1,1313
475000.0, 2150 W Eugie Ave Phoenix AZ 85029 ,4,85035,33.466239,-112.195448,https://www.zillow.com/homedetails/1616-N-63rd-Ave-APT-10-Phoenix-AZ-85035/7490791_zpid/,2,1823
125000.0, 1616 N 63rd Ave APT 10 Phoenix AZ 85035 ,1,85023,33.636788,-112.07595,https://www.zillow.com/homedetails/16813-N-1st-Ln-SPACE-6-Phoenix-AZ-85023/2067654817_zpid/,1,528
86000.0, 16813 N 1st Ln SPACE 6 Phoenix AZ 85023 ,3,0,0.0,0.0,0,2,1536
